nimi,kaupunki,pituus,leveys
Helsinki,Helsinki
Pasila,Helsinki
Tikkurila,Vantaa
Lahti,Lahti
Kouvola,Kouvola
Lappeenranta,Lappeenranta
Joutseno,Joutseno
Imatra,Imatra
Simpele,Simpele
Parikkala,Parikkala
Kesälahti,Kesälahti
Kitee,Kitee
Joensuu,Joensuu
Leppävaara,Espoo
Kirkkonummi,Kirkkonummi
Karjaa,Karjaa
Salo,Salo
Kupittaa,Turku
Turku,Turku
